Шифр расценки и коды ресурсов,Наименование работ и затрат,Ед. изм.,Unnamed: 3,Наименование СПГЗ,ID,КПГЗ,Единицы измерения
5.4-1201-2-2/1,"Уборка с цветников и газонов мульчирующих материалов вручную, толщина слоя 2 см",100 м2,1,Уход за цветником (цветочной композицией) из многолетников в рамках компенсационного озеленения,70227584.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Квадратный метр
5.4-2103-1-1/1,Очистка фильтров системы поливочного водопровода - фильтры сетчатые корзинчатого типа,10 шт.,1,Ремонт поливочного водопровода в рамках благоустройства территорий учреждений образования,59116710.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Погонный метр
5.4-2103-1-2/1,Очистка фильтров системы поливочного водопровода - фильтры понижения давления,10 шт.,1,Ремонт поливочного водопровода в рамках благоустройства территорий учреждений образования,59116710.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Погонный метр
5.4-2103-2-1/1,Осмотр насадок для распыления (оросителей) системы автополива,10 шт.,1,Ремонт поливочного водопровода в рамках благоустройства территорий учреждений образования,59116710.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Погонный метр
5.4-3101-1-1/1,Формовочная обрезка деревьев высотой до 5 м,дерево,1,Кронирование деревьев при благоустройстве парков,46323912.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Штука
5.4-3101-1-2/1,Формовочная обрезка деревьев высотой более 5 м,дерево,1,Кронирование деревьев при благоустройстве парков,46323912.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Штука
5.4-3101-3-1/1,"Вырезка сухих ветвей, деревья лиственных пород диаметром до 350 мм при количестве срезанных ветвей до 5",дерево,1,Обрезка деревьев в рамках капитального ремонта велосипедной инфраструктуры,161165486.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3101-3-2/1,"Вырезка сухих ветвей, деревья лиственных пород диаметром более 350 мм при количестве срезанных ветвей до 5",дерево,1,Обрезка деревьев в рамках капитального ремонта велосипедной инфраструктуры,161165486.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3101-3-3/1,"Вырезка сухих ветвей, деревья лиственных пород диаметром до 350 мм при количестве срезанных ветвей до 15",дерево,1,Обрезка деревьев в рамках капитального ремонта велосипедной инфраструктуры,161165486.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3101-3-4/1,"Вырезка сухих ветвей, деревья лиственных пород диаметром более 350 мм при количестве срезанных ветвей до 15",дерево,1,Обрезка деревьев в рамках капитального ремонта велосипедной инфраструктуры,161165486.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3101-3-5/1,"Вырезка сухих ветвей, деревья лиственных пород диаметром до 350 мм при количестве срезанных ветвей более 15",дерево,1,Обрезка деревьев в рамках капитального ремонта велосипедной инфраструктуры,161165486.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3101-3-6/1,"Вырезка сухих ветвей, деревья лиственных пород диаметром более 350 мм при количестве срезанных ветвей более 15",дерево,1,Обрезка деревьев в рамках капитального ремонта велосипедной инфраструктуры,161165486.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3101-3-7/1,"Вырезка сухих ветвей, сосна",дерево,1,Обрезка деревьев в рамках капитального ремонта велосипедной инфраструктуры,161165486.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3101-3-8/1,"Вырезка сухих ветвей, ель диаметром до 150 мм",дерево,1,Обрезка деревьев в рамках капитального ремонта велосипедной инфраструктуры,161165486.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3101-3-9/1,"Вырезка сухих ветвей, ель диаметром более 150 мм",дерево,1,Обрезка деревьев в рамках капитального ремонта велосипедной инфраструктуры,161165486.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3101-4-1/1,Омоложение живых изгородей мягких с обрезкой побегов на пень до 70%,м,1,Омолаживающая обрезка кустарника в рамках благоустройства территории,91741658.0,02.03.03.03 ОЗЕЛЕНЕНИЕ ТЕРРИТОРИЙ,Штука
5.4-3101-4-2/1,Омоложение живых изгородей мягких с обрезкой побегов на пень до 100%,м,1,Омолаживающая обрезка кустарника в рамках благоустройства территории,91741658.0,02.03.03.03 ОЗЕЛЕНЕНИЕ ТЕРРИТОРИЙ,Штука
5.4-3101-4-3/1,Омоложение живых изгородей твердых с обрезкой побегов на пень до 70%,м,1,Омолаживающая обрезка кустарника в рамках благоустройства территории,91741658.0,02.03.03.03 ОЗЕЛЕНЕНИЕ ТЕРРИТОРИЙ,Штука
5.4-3101-4-4/1,Омоложение живых изгородей твердых с обрезкой побегов на пень до 100%,м,1,Омолаживающая обрезка кустарника в рамках благоустройства территории,91741658.0,02.03.03.03 ОЗЕЛЕНЕНИЕ ТЕРРИТОРИЙ,Штука
5.4-3101-4-5/1,Омоложение живых изгородей колючих с обрезкой побегов на пень до 70%,м,1,Омолаживающая обрезка кустарника в рамках благоустройства территории,91741658.0,02.03.03.03 ОЗЕЛЕНЕНИЕ ТЕРРИТОРИЙ,Штука
5.4-3101-4-6/1,Омоложение живых изгородей колючих с обрезкой побегов на пень до 100%,м,1,Омолаживающая обрезка кустарника в рамках благоустройства территории,91741658.0,02.03.03.03 ОЗЕЛЕНЕНИЕ ТЕРРИТОРИЙ,Штука
5.4-3101-4-7/1,Омоложение кустарников одиночных,10 кустов,1,Омолаживающая обрезка кустарника в рамках благоустройства территории,91741658.0,02.03.03.03 ОЗЕЛЕНЕНИЕ ТЕРРИТОРИЙ,Штука
5.4-3101-5-1/1,"Омолаживающая обрезка деревьев мягколиственных пород, диаметр ствола до 0,5 м",дерево,1,Обрезка деревьев в рамках капитального ремонта велосипедной инфраструктуры,161165486.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3101-5-2/1,"Омолаживающая обрезка деревьев мягколиственных пород, диаметр ствола более 0,5 м",дерево,1,Обрезка деревьев в рамках капитального ремонта велосипедной инфраструктуры,161165486.0,02.05.02.02.10 РЕМОНТ КАПИТАЛЬНЫЙ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука
5.4-3101-6-1/1,"Санитарная обрезка (кронирование) деревьев мягколиственных пород (обрезка под ЛЭП) диаметр ствола до 0,5 м",дерево,1,Санитарная обрезка деревьев в рамках содержания зеленых насаждений,45011666.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Штука
5.4-3101-7-1/1,"Санитарная обрезка деревьев мягких пород с использованием автовышки - диаметром до 0,5 м при количестве срезанных ветвей до 15",шт.,1,Санитарная обрезка деревьев в рамках содержания зеленых насаждений,45011666.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Штука
5.4-3101-7-2/1,"Санитарная обрезка деревьев мягких пород с использованием автовышки -  диаметром до 0,5 м при количестве срезанных ветвей более 15",шт.,1,Санитарная обрезка деревьев в рамках содержания зеленых насаждений,45011666.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Штука
5.4-3101-7-3/1,"Санитарная обрезка деревьев мягких пород с использованием автовышки - диаметром более 0,5 м при количестве срезанных ветвей до 15",шт.,1,Санитарная обрезка деревьев в рамках содержания зеленых насаждений,45011666.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Штука
5.4-3101-7-4/1,"Санитарная обрезка деревьев мягких пород с использованием автовышки - диаметром более 0,5 м при количестве срезанных ветвей более 15",шт.,1,Санитарная обрезка деревьев в рамках содержания зеленых насаждений,45011666.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Штука
5.4-3101-8-3/1,"Санитарная обрезка деревьев хвойных пород с использованием автовышки - сосна диаметром более 0,5 м при количестве срезанных веток до 15",шт.,1,Санитарная обрезка деревьев в рамках содержания зеленых насаждений,45011666.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Штука
5.4-3101-8-4/1,"Санитарная обрезка деревьев хвойных пород с использованием автовышки - сосна диаметром более 0,5 м при количестве срезанных веток более 15",шт.,1,Санитарная обрезка деревьев в рамках содержания зеленых насаждений,45011666.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Штука
5.4-3101-9-3/1,"Санитарная обрезка деревьев мягких пород с использованием альпинистского снаряжения - диаметром более 0,5 м при количестве срезанных ветвей до 15",шт.,1,Санитарная обрезка деревьев в рамках содержания зеленых насаждений,45011666.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Штука
5.4-3101-9-4/1,"Санитарная обрезка деревьев мягких пород с использованием альпинистского снаряжения - диаметром более 0,5 м при количестве срезанных ветвей более 15",шт.,1,Санитарная обрезка деревьев в рамках содержания зеленых насаждений,45011666.0,03.07.01.06 ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И СОДЕРЖАНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ,Штука
5.4-3103-6-1/1,"Посадка деревьев и кустарников с комом земли, диаметром 0,2 м и высотой 0,15 м, диаметром 0,25 м и высотой 0,2 м",10 шт.,1,Посадка деревьев в рамках благоустройства территорий объектов спорта,60046146.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-6-2/1,"Посадка деревьев и кустарников с комом земли, диаметром 0,3 м и высотой 0,3 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка деревьев в рамках благоустройства территорий объектов спорта,60046146.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-6-3/1,"Посадка деревьев и кустарников с комом земли, диаметром 0,5 м и высотой 0,4 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка деревьев в рамках благоустройства территорий объектов спорта,60046146.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-6-4/1,"Посадка деревьев и кустарников с комом земли, диаметром 0,8 м и высотой 0,6 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка деревьев в рамках благоустройства территорий объектов спорта,60046146.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-6-5/1,"Посадка деревьев и кустарников с комом земли размером 0,5х0,5х0,4 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка деревьев в рамках благоустройства территорий объектов спорта,60046146.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-6-6/1,"Посадка деревьев и кустарников с комом земли размером 0,8х0,8х0,5 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка деревьев в рамках благоустройства территорий объектов спорта,60046146.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-6-7/1,"Посадка деревьев и кустарников с комом земли размером 1,0х1,0х0,6 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка деревьев в рамках благоустройства территорий объектов спорта,60046146.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-6-8/1,"Посадка деревьев и кустарников с комом земли размером 1,3х1,3х0,6 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка деревьев в рамках благоустройства территорий объектов спорта,60046146.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-6-9/1,"Посадка деревьев и кустарников с комом земли размером 1,5х1,5х0,65 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка деревьев в рамках благоустройства территорий объектов спорта,60046146.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-6-10/1,"Посадка деревьев и кустарников с комом земли размером 1,7х1,7х0,65 м (без стоимости деревьев и кустарников)",10 шт.,1,Посадка деревьев в рамках благоустройства территорий объектов спорта,60046146.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-6-11/1,"Посадка деревьев с комом земли размером 2,0х2,0х0,8 м (без стоимостидеревьев и шланга полиэтиленового с отверстиями)",10 шт.,1,Посадка деревьев в рамках благоустройства территорий объектов спорта,60046146.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-6-12/1,"Посадка деревьев с комом земли размером 2,4х2,4х0,95 м (без стоимости деревьев и шланга полиэтиленового с отверстиями)",10 шт.,1,Посадка деревьев в рамках благоустройства территорий объектов спорта,60046146.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-10-1/1,"Посадка деревьев-саженцев с оголенной корневой системой в ямы размером 0,7х0,7 м",10 деревьев,1,Посадка деревьев в рамках благоустройства территорий объектов спорта,60046146.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-10-2/1,"Посадка деревьев-саженцев с оголенной корневой системой в ямы размером 1,0х0,8 м",10 деревьев,1,Посадка деревьев в рамках благоустройства территорий объектов спорта,60046146.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-14-1/1,"Посадка кустарников-саженцев в группы в ямы размером 0,5х0,5 м",10 кустов,1,Посадка кустарников в рамках благоустройства территорий объектов спорта,60046427.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-14-2/1,"Посадка кустарников-саженцев в группы в ямы размером 0,7х0,5 м",10 кустов,1,Посадка кустарников в рамках благоустройства территорий объектов спорта,60046427.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-18-1/1,Посадка кустарников-саженцев в живую изгородь однорядную и вьющихся растений,10 м,1,Посадка кустарников в рамках благоустройства территорий объектов спорта,60046427.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-18-2/1,Посадка кустарников-саженцев в живую изгородь двухрядную,10 м,1,Посадка кустарников в рамках благоустройства территорий объектов спорта,60046427.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-23-1/1,Укрытие на зиму теплолюбивых кустарников и роз,10 кустов,1,Уход за цветником (цветочной композицией) из многолетников в рамках компенсационного озеленения,70227584.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Квадратный метр
5.4-3103-24-1/1,Посадка кустарников с комом земли в живую изгородь - подготовка посадочных мест вручную для однорядной живой изгороди в естественном грунте,10 м,1,Посадка кустарников в рамках благоустройства территорий объектов спорта,60046427.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-24-2/1,"Посадка кустарников с комом земли в живую изгородь - подготовка посадочных мест вручную для однорядной живой изгороди с добавлением растительной земли, добавлять на каждые 25 %",10 м,1,Посадка кустарников в рамках благоустройства территорий объектов спорта,60046427.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-24-3/1,Посадка кустарников с комом земли в живую изгородь - подготовка посадочных мест вручную для двухрядной живой изгороди в естественном грунте,10 м,1,Посадка кустарников в рамках благоустройства территорий объектов спорта,60046427.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-24-4/1,"Посадка кустарников с комом земли в живую изгородь - подготовка посадочных мест вручную для двухрядной живой изгороди с добавлением растительной земли, добавлять на каждые 25 %",10 м,1,Посадка кустарников в рамках благоустройства территорий объектов спорта,60046427.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-25-1/1,Посадка кустарников с комом земли в живую изгородь - однорядная (без стоимости кустарников),10 м,1,Посадка кустарников в рамках благоустройства территорий объектов спорта,60046427.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-25-2/1,Посадка кустарников с комом земли в живую изгородь - двухрядная (без стоимости кустарников),10 м,1,Посадка кустарников в рамках благоустройства территорий объектов спорта,60046427.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-27-1/1,"Посадка кустарников с комом земли в группы - размер ямы 0,5х0,5 м",10 шт.,1,Посадка кустарников в рамках благоустройства территорий объектов спорта,60046427.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3103-27-2/1,"Посадка кустарников с комом земли в группы - размер ямы 0,7х0,5 м",10 шт.,1,Посадка кустарников в рамках благоустройства территорий объектов спорта,60046427.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3104-1-1/1,Валка и разделка деревьев вручную с последующей ручной переноской и складированием кряжей и сучьев диаметром 100 мм на расстояние до 50 м,шт.,1,Вырубка деревьев в рамках благоустройства территорий объектов спорта,60046095.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3104-1-2/1,Валка и разделка деревьев вручную с последующей ручной переноской и складированием кряжей и сучьев диаметром 200 мм на расстояние до 50 м,шт.,1,Вырубка деревьев в рамках благоустройства территорий объектов спорта,60046095.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3104-1-3/1,Валка и разделка деревьев вручную с последующей ручной переноской и складированием кряжей и сучьев диаметром 300 мм на расстояние до 50 м,шт.,1,Вырубка деревьев в рамках благоустройства территорий объектов спорта,60046095.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3104-1-4/1,Валка и разделка деревьев вручную с последующей ручной переноской и складированием кряжей и сучьев диаметром 400 мм на расстояние до 50 м,шт.,1,Вырубка деревьев в рамках благоустройства территорий объектов спорта,60046095.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3104-1-5/1,Валка и разделка деревьев вручную с последующей ручной переноской и складированием кряжей и сучьев диаметром 500 мм на расстояние до 50 м,шт.,1,Вырубка деревьев в рамках благоустройства территорий объектов спорта,60046095.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3104-1-6/1,Валка и разделка деревьев вручную с последующей ручной переноской и складированием кряжей и сучьев диаметром 600 мм на расстояние до 50 м,шт.,1,Вырубка деревьев в рамках благоустройства территорий объектов спорта,60046095.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3104-1-7/1,Валка и разделка деревьев вручную с последующей ручной переноской и складированием кряжей и сучьев диаметром 700 мм на расстояние до 50 м,шт.,1,Вырубка деревьев в рамках благоустройства территорий объектов спорта,60046095.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3104-1-8/1,Валка и разделка деревьев вручную с последующей ручной переноской и складированием кряжей и сучьев диаметром 900 мм на расстояние до 50 м,шт.,1,Вырубка деревьев в рамках благоустройства территорий объектов спорта,60046095.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3104-2-1/1,"Корчевка и разделка пней диаметром 100 мм вручную с последующей ручной переноской и складированием на расстояние до 50 м, подноска и засыпка образующихся при корчевке ям, растительной земельной смесью",шт.,1,Корчевка пней на особо охраняемых природных территориях,35103979.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.4-3104-2-2/1,"Корчевка и разделка пней диаметром 200 мм вручную с последующей ручной переноской и складированием на расстояние до 50 м, подноска и засыпка образующихся при корчевке ям, растительной земельной смесью",шт.,1,Корчевка пней на особо охраняемых природных территориях,35103979.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.4-3104-2-3/1,"Корчевка и разделка пней диаметром 300 мм вручную с последующей ручной переноской и складированием на расстояние до 50 м, подноска и засыпка образующихся при корчевке ям, растительной земельной смесью",шт.,1,Корчевка пней на особо охраняемых природных территориях,35103979.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.4-3104-2-4/1,"Корчевка и разделка пней диаметром 400 мм вручную с последующей ручной переноской и складированием на расстояние до 50 м, подноска и засыпка образующихся при корчевке ям, растительной земельной смесью",шт.,1,Корчевка пней на особо охраняемых природных территориях,35103979.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.4-3104-2-5/1,"Корчевка и разделка пней диаметром 500 мм вручную с последующей ручной переноской и складированием на расстояние до 50 м, подноска и засыпка образующихся при корчевке ям, растительной земельной смесью",шт.,1,Корчевка пней на особо охраняемых природных территориях,35103979.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.4-3104-2-6/1,"Корчевка и разделка пней диаметром 600 мм вручную с последующей ручной переноской и складированием на расстояние до 50 м, подноска и засыпка образующихся при корчевке ям, растительной земельной смесью",шт.,1,Корчевка пней на особо охраняемых природных территориях,35103979.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.4-3104-2-7/1,"Корчевка и разделка пней диаметром 700 мм вручную с последующей ручной переноской и складированием на расстояние до 50 м, подноска и засыпка образующихся при корчевке ям, растительной земельной смесью",шт.,1,Корчевка пней на особо охраняемых природных территориях,35103979.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.4-3104-2-8/1,"Корчевка и разделка пней диаметром 900 мм вручную с последующей ручной переноской и складированием на расстояние до 50 м, подноска и засыпка образующихся при корчевке ям, растительной земельной смесью",шт.,1,Корчевка пней на особо охраняемых природных территориях,35103979.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.4-3104-3-1/1,Вырубка кустарников с последующей ручной переноской и складированием на расстояние до 50 м при диаметре кустов у корня до 300 мм,шт.,1,Вырубка кустарников в рамках благоустройства территорий объектов спорта,60046173.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
5.4-3104-3-2/1,Вырубка кустарников с последующей ручной переноской и складированием на расстояние до 50 м при диаметре кустов у корня до 700 мм,шт.,1,Вырубка кустарников в рамках благоустройства территорий объектов спорта,60046173.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука
