,kpgz_code,kpgz_name,template_name
22244,01.11.01.07.21,ГИДРОБАКИ,ГИДРОБАКИ
22245,01.25.22.07,ГИДРОВАШГЕРДЫ,ГИДРОВАШГЕРДЫ
22246,01.02.10.12.01.09,ПОВЯЗКИ МЕДИЦИНСКИЕ РАНЕВЫЕ,ПОСТАВКА ПЕРЕВЯЗОЧНЫХ МАТЕРИАЛОВ
22247,01.02.10.35.01,ГИДРОГЕЛЬ ДЛЯ ЛЕЧЕНИЯ ПУЗЫРНО-МОЧЕТОЧНИКОВОГО РЕФЛЮКСА У ДЕТЕЙ,ГИДРОГЕЛЬ ДЛЯ ЛЕЧЕНИЯ ПУЗЫРНО-МОЧЕТОЧНИКОВОГО РЕФЛЮКСА У ДЕТЕЙ
22252,01.09.05.10,"СУДНО ГИДРОГРАФИЧЕСКОЕ, ЛОЦМЕЙСТЕРСКОЕ","СУДНО ГИДРОГРАФИЧЕСКОЕ, ЛОЦМЕЙСТЕРСКОЕ"
22271,01.02.10.12.08.04,ГИДРОКОЛЛОИДНЫЕ ПОВЯЗКИ,ГИДРОКОЛЛОИДНЫЕ ПОВЯЗКИ
22290,01.02.10.12.01.08,ПОВЯЗКИ МЕДИЦИНСКИЕ,ПОСТАВКА ПЕРЕВЯЗОЧНЫХ МАТЕРИАЛОВ
22320,01.26.01.02.03.03.04,ГИДРОКСИЛАМИНА ГИДРОХЛОРИД (РЕАКТИВ),ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
22329,01.02.09.11.01,"ПРОТИВОПРОТОЗОЙНЫЕ ПРЕПАРАТЫ,P01",ПОСТАВКА ЛЕКАРСТВЕННЫХ СРЕДСТВ
22343,01.25.82.05,ГИДРОЛИЗЕРЫ,ГИДРОЛИЗЕРЫ
22344,01.04.04.11,"КОМПЛЕКТЫ ПРИСПОСОБЛЕНИЙ ДЛЯ ОТБОРА ПРОБ ВОДЫ, ВОЗДУХА, ГРУНТА И ДРУГИХ СРЕД","КОМПЛЕКТЫ ПРИСПОСОБЛЕНИЙ ДЛЯ ОТБОРА ПРОБ ВОДЫ, ВОЗДУХА, ГРУНТА И ДРУГИХ СРЕД"
22345,01.25.17.03,ГИДРОМОТОРЫ,ГИДРОМОТОРЫ
22378,01.26.02.04.03.38,ГИДРОХИНОН (ПАРАДИОКСИБЕНЗОЛ),ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
22380,01.02.09.03.03,"ДИУРЕТИКИ, C03",ПОСТАВКА ЛЕКАРСТВЕННЫХ СРЕДСТВ
22409,01.04.03.04.03,ГИДРОЦИКЛЫ,ГИДРОЦИКЛЫ
22432,01.04.01.01,ИНВЕНТАРЬ ПОЖАРНЫЙ ГИДРАВЛИЧЕСКИЙ,ИНВЕНТАРЬ ПОЖАРНЫЙ ГИДРАВЛИЧЕСКИЙ
22437,01.11.01.03.11.01,ТЕРМОСТАТЫ,ТЕРМОСТАТЫ
22443,01.02.10.34.27,ГИЛЬЗЫ ДЛЯ УДЛИНЕНИЯ ЭНДОПРОТЕЗА БЕДРЕННЫХ/БОЛЬШЕБЕРЦОВЫХ КОСТЕЙ,ГИЛЬЗЫ ДЛЯ УДЛИНЕНИЯ ЭНДОПРОТЕЗА БЕДРЕННЫХ/БОЛЬШЕБЕРЦОВЫХ КОСТЕЙ
22448,01.02.10.06.19.10,ГИЛЬЗЫ РЕДУКЦИОННЫЕ,ГИЛЬЗЫ РЕДУКЦИОННЫЕ
22463,01.25.04.04,ГИЛЬОТИНЫ ДЛЯ РЕЗКИ ПО МЕТАЛЛУ (ТЕКСТОЛИТУ),ГИЛЬОТИНЫ ДЛЯ РЕЗКИ ПО МЕТАЛЛУ (ТЕКСТОЛИТУ)
22475,01.02.10.43.292,ГИМЗА КРАСЯЩИЙ РАСТВОР ИВД,ГИМЗА КРАСЯЩИЙ РАСТВОР ИВД
22500,01.02.10.54.03.01,РАСТВОРЫ ДЛЯ ИНГАЛЯЦИЙ,РАСТВОРЫ ДЛЯ ИНГАЛЯЦИЙ
22501,01.02.11.01.13.01.07.01,"ГИПОКСИКАТОР, С ПИТАНИЕМ ОТ СЕТИ","ГИПОКСИКАТОР, С ПИТАНИЕМ ОТ СЕТИ"
22551,01.08.01.01.08.44,ГИРИ,"ПОСТАВКА СНАРЯДОВ, ИНВЕНТАРЯ И ОБОРУДОВАНИЯ ДЛЯ ЗАНЯТИЙ ФИЗКУЛЬТУРОЙ И АТЛЕТИКОЙ В СПОРТИВНЫХ ЗАЛАХ"
22555,01.02.11.01.17.06.13,ГИСТЕРОСКОПЫ,ГИСТЕРОСКОПЫ
22558,01.02.10.05.15.02,КОМПЛЕКТЫ ДЛЯ ОПЕРАЦИОННОЙ ГИСТЕРОСКОПИИ,"ПОСТАВКА ИНСТРУМЕНТОВ, СОВМЕСТИМЫХ С ОБОРУДОВАНИЕМ ПРОИЗВОДСТВА KARL STORZ, RICHARD WOLF, AESCULAP, ESCULAP, GIMMI"
22562,01.02.11.01.17.08.34,ГИСТЕРОСКОП ОПТОВОЛОКОННЫЙ ГИБКИЙ,ГИСТЕРОСКОП ОПТОВОЛОКОННЫЙ ГИБКИЙ
22567,01.02.10.43.293.01,"ГИСТОНЫ АНТИТЕЛА ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)","ГИСТОНЫ АНТИТЕЛА ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)"
22570,01.02.10.43.293.02,"ГИСТОНЫ АНТИТЕЛА ИВД, НАБОР, ИММУНОФЛУОРЕСЦЕНТНЫЙ АНАЛИЗ","ГИСТОНЫ АНТИТЕЛА ИВД, НАБОР, ИММУНОФЛУОРЕСЦЕНТНЫЙ АНАЛИЗ"
22574,01.07.03.01.02.02,ГИТАРЫ,ПОСТАВКА МУЗЫКАЛЬНЫХ ИНСТРУМЕНТОВ
22580,01.02.10.06.07,ГЛАДИЛКИ МЕДИЦИНСКИЕ,ГЛАДИЛКИ МЕДИЦИНСКИЕ
22585,01.02.10.33.12.07.02,ГЛАДИЛКИ СТОМАТОЛОГИЧЕСКИЕ,ГЛАДИЛКИ СТОМАТОЛОГИЧЕСКИЕ
22608,01.02.10.33.08.07,ГЛАДИЛКИ ТЕРАПЕВТИЧЕСКИЕ,ГЛАДИЛКИ ТЕРАПЕВТИЧЕСКИЕ
22612,01.25.03.01.03.02,МАШИНЫ ГЛАДИЛЬНЫЕ ПРОФЕССИОНАЛЬНЫЕ,МАШИНЫ ГЛАДИЛЬНЫЕ ПРОФЕССИОНАЛЬНЫЕ
22642,01.02.10.43.294.03,"ГЛИАДИН АНТИТЕЛА ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА) (ОТКРЫТЫЕ СИСТЕМЫ)","ГЛИАДИН АНТИТЕЛА ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА) (ОТКРЫТЫЕ СИСТЕМЫ)"
22643,01.02.10.43.294.01,"ГЛИАДИН АНТИТЕЛА ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
22650,01.02.10.43.294.02,"ГЛИАДИН АНТИТЕЛА ИВД, НАБОР, ИММУНОФЛУОРЕСЦЕНТНЫЙ АНАЛИЗ","ГЛИАДИН АНТИТЕЛА ИВД, НАБОР, ИММУНОФЛУОРЕСЦЕНТНЫЙ АНАЛИЗ"
22651,01.02.10.43.295.02,"ГЛИАЛЬНЫЙ ФИБРИЛЛЯРНЫЙ КИСЛЫЙ БЕЛОК ИВД, АНТИТЕЛА","ГЛИАЛЬНЫЙ ФИБРИЛЛЯРНЫЙ КИСЛЫЙ БЕЛОК ИВД, АНТИТЕЛА"
22652,01.02.10.43.295.01,"ГЛИАЛЬНЫЙ ФИБРИЛЛЯРНЫЙ КИСЛЫЙ БЕЛОК ИВД, НАБОР, ИММУНОГИСТОХИМИЧЕСКАЯ РЕАКЦИЯ С ФЕРМЕНТАТИВНОЙ МЕТКОЙ","ГЛИАЛЬНЫЙ ФИБРИЛЛЯРНЫЙ КИСЛЫЙ БЕЛОК ИВД, НАБОР, ИММУНОГИСТОХИМИЧЕСКАЯ РЕАКЦИЯ С ФЕРМЕНТАТИВНОЙ МЕТКОЙ"
22676,01.02.10.43.296.08,"ГЛИКИРОВАННЫЙ ГЕМОГЛОБИН (HBA1C) ИВД, КАЛИБРАТОР (ОТКРЫТЫЕ СИСТЕМЫ)","ГЛИКИРОВАННЫЙ ГЕМОГЛОБИН (HBA1C) ИВД, КАЛИБРАТОР (ОТКРЫТЫЕ СИСТЕМЫ)"
22682,01.02.10.43.296.02,"ГЛИКИРОВАННЫЙ ГЕМОГЛОБИН (HBA1C) ИВД, КАЛИБРАТОР",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
22688,01.02.10.43.296.05,"ГЛИКИРОВАННЫЙ ГЕМОГЛОБИН (HBA1C) ИВД, КОНТРОЛЬНЫЙ МАТЕРИАЛ","ГЛИКИРОВАННЫЙ ГЕМОГЛОБИН (HBA1C) ИВД, КОНТРОЛЬНЫЙ МАТЕРИАЛ"
22699,01.02.10.43.296.06,"ГЛИКИРОВАННЫЙ ГЕМОГЛОБИН (HBA1C) ИВД, НАБОР, ЖИДКОСТНАЯ ХРОМАТОГРАФИЯ","ГЛИКИРОВАННЫЙ ГЕМОГЛОБИН (HBA1C) ИВД, НАБОР, ЖИДКОСТНАЯ ХРОМАТОГРАФИЯ"
22705,01.02.10.43.296.04,"ГЛИКИРОВАННЫЙ ГЕМОГЛОБИН (HBA1C) ИВД, НАБОР, ИММУНОХЕМИЛЮМИНЕСЦЕНТНЫЙ АНАЛИЗ","ГЛИКИРОВАННЫЙ ГЕМОГЛОБИН (HBA1C) ИВД, НАБОР, ИММУНОХЕМИЛЮМИНЕСЦЕНТНЫЙ АНАЛИЗ"
22706,01.02.10.43.296.07,"ГЛИКИРОВАННЫЙ ГЕМОГЛОБИН (HBA1C) ИВД, НАБОР, НЕФЕЛОМЕТРИЧЕСКИЙ/ТУРБИДИМЕТРИЧЕСКИЙ АНАЛИЗ","ГЛИКИРОВАННЫЙ ГЕМОГЛОБИН (HBA1C) ИВД, НАБОР, НЕФЕЛОМЕТРИЧЕСКИЙ/ТУРБИДИМЕТРИЧЕСКИЙ АНАЛИЗ"
22716,01.02.10.43.296.03,"ГЛИКИРОВАННЫЙ ГЕМОГЛОБИН (HBA1C) ИВД, РЕАГЕНТ (ОТКРЫТЫЕ СИСТЕМЫ)","ГЛИКИРОВАННЫЙ ГЕМОГЛОБИН (HBA1C) ИВД, РЕАГЕНТ (ОТКРЫТЫЕ СИСТЕМЫ)"
22717,01.02.10.43.296.01,"ГЛИКИРОВАННЫЙ ГЕМОГЛОБИН (HBA1C) ИВД, РЕАГЕНТ",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
22772,01.11.08.10,ГЛИНА ОГНЕУПОРНАЯ,ГЛИНА ОГНЕУПОРНАЯ
22773,01.26.02.05.14,ГЛИЦЕРИН,ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
22804,01.02.10.43.297.03,"ГЛОБУЛИН, СВЯЗЫВАЮЩИЙ ПОЛОВЫЕ ГОРМОНЫ ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)","ГЛОБУЛИН, СВЯЗЫВАЮЩИЙ ПОЛОВЫЕ ГОРМОНЫ ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)"
22805,01.02.10.43.297.02,"ГЛОБУЛИН, СВЯЗЫВАЮЩИЙ ПОЛОВЫЕ ГОРМОНЫ ИВД, НАБОР, РАДИОИММУННЫЙ АНАЛИЗ (РИА)","ГЛОБУЛИН, СВЯЗЫВАЮЩИЙ ПОЛОВЫЕ ГОРМОНЫ ИВД, НАБОР, РАДИОИММУННЫЙ АНАЛИЗ (РИА)"
22809,01.02.10.43.297.01,"ГЛОБУЛИН, СВЯЗЫВАЮЩИЙ ПОЛОВЫЕ ГОРМОНЫ ИВД, РЕАГЕНТ",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
22810,01.02.10.43.297.04,"ГЛОБУЛИН, СВЯЗЫВАЮЩИЙ ПОЛОВЫЕ ГОРМОНЫ ИВД, РЕАГЕНТ (ОТКРЫТЫЕ СИСТЕМЫ)","ГЛОБУЛИН, СВЯЗЫВАЮЩИЙ ПОЛОВЫЕ ГОРМОНЫ ИВД, РЕАГЕНТ (ОТКРЫТЫЕ СИСТЕМЫ)"
22820,01.06.03.66.30,ГЛОБУСЫ,ГЛОБУСЫ
22834,01.07.03.03.03.01,ГЛОКЕНШПИЛИ,ПОСТАВКА МУЗЫКАЛЬНЫХ ИНСТРУМЕНТОВ
22835,01.02.10.43.298.02,"ГЛОМЕРУЛЯРНАЯ БАЗАЛЬНАЯ МЕМБРАНА АНТИТЕЛА (АНТИТЕЛА ГУДПАСЧЕРА) ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)","ГЛОМЕРУЛЯРНАЯ БАЗАЛЬНАЯ МЕМБРАНА АНТИТЕЛА (АНТИТЕЛА ГУДПАСЧЕРА) ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)"
22840,01.02.10.43.298.01,"ГЛОМЕРУЛЯРНАЯ БАЗАЛЬНАЯ МЕМБРАНА АНТИТЕЛА (АНТИТЕЛА ГУДПАСЧЕРА) ИВД, НАБОР, ИММУНОФЛУОРЕСЦЕНТНЫЙ АНАЛИЗ","ГЛОМЕРУЛЯРНАЯ БАЗАЛЬНАЯ МЕМБРАНА АНТИТЕЛА (АНТИТЕЛА ГУДПАСЧЕРА) ИВД, НАБОР, ИММУНОФЛУОРЕСЦЕНТНЫЙ АНАЛИЗ"
22841,01.02.10.37.03.08.01,ГЛУБИНОМЕРЫ УНИВЕРСАЛЬНЫЕ,ГЛУБИНОМЕРЫ УНИВЕРСАЛЬНЫЕ
22845,01.02.10.43.01.86.18.02,"РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ ЦИТОМЕТРОВ ПРОТОЧНЫХ СЕРИИ ""AQUIOS"", ПРОИЗВОДСТВА ""BECKMAN COULTER""",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
22852,01.02.10.43.299,ГЛУТАРАЛЬДЕГИД РАСТВОР ИВД,ГЛУТАРАЛЬДЕГИД РАСТВОР ИВД
22857,01.02.10.43.300.01,"ГЛУТАТИОН-S-ТРАНСФЕРАЗА ПОЛИМОРФИЗМ ГЕНА ИВД, НАБОР, АНАЛИЗ НУКЛЕИНОВЫХ КИСЛОТ","ГЛУТАТИОН-S-ТРАНСФЕРАЗА ПОЛИМОРФИЗМ ГЕНА ИВД, НАБОР, АНАЛИЗ НУКЛЕИНОВЫХ КИСЛОТ"
22858,01.25.75.08,ГЛУШИТЕЛИ ВОЗДУШНОГО ТРАКТА ДУТЬЕВЫХ ВЕНТИЛЯТОРОВ,ГЛУШИТЕЛИ ВОЗДУШНОГО ТРАКТА ДУТЬЕВЫХ ВЕНТИЛЯТОРОВ
22859,01.25.75.09,ГЛУШИТЕЛИ ГАЗОРАСПРЕДЕЛИТЕЛЬНОГО ПУНКТА,ГЛУШИТЕЛИ ГАЗОРАСПРЕДЕЛИТЕЛЬНОГО ПУНКТА
22877,01.02.09.06.04,"ГОРМОНЫ ПОДЖЕЛУДОЧНОЙ ЖЕЛЕЗЫ,H04",ПОСТАВКА ЛЕКАРСТВЕННЫХ СРЕДСТВ
22878,01.02.10.43.301.01,"ГЛЮКАГОН ИВД, АНТИТЕЛА","ГЛЮКАГОН ИВД, АНТИТЕЛА"
22895,01.02.10.43.302.11,"ГЛЮКОЗА ИВД, КАЛИБРАТОР","ГЛЮКОЗА ИВД, КАЛИБРАТОР"
22896,01.02.10.43.302.12,"ГЛЮКОЗА ИВД, КОНТРОЛЬНЫЙ МАТЕРИАЛ","ГЛЮКОЗА ИВД, КОНТРОЛЬНЫЙ МАТЕРИАЛ"
22901,01.02.10.43.302.02,"ГЛЮКОЗА ИВД, НАБОР, ИОН-СЕЛЕКТИВНЫЕ ЭЛЕКТРОДЫ",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
22902,01.02.10.43.302.07,"ГЛЮКОЗА ИВД, НАБОР, КОЛОРИМЕТРИЧЕСКАЯ ТЕСТ-ПОЛОСКА, ЭКСПРЕСС-АНАЛИЗ (ОТКРЫТЫЕ СИСТЕМЫ)","ГЛЮКОЗА ИВД, НАБОР, КОЛОРИМЕТРИЧЕСКАЯ ТЕСТ-ПОЛОСКА, ЭКСПРЕСС-АНАЛИЗ (ОТКРЫТЫЕ СИСТЕМЫ)"
22903,01.02.10.43.302.03,"ГЛЮКОЗА ИВД, НАБОР, КОЛОРИМЕТРИЧЕСКАЯ ТЕСТ-ПОЛОСКА, ЭКСПРЕСС-АНАЛИЗ",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
22917,01.02.10.43.302.13,"ГЛЮКОЗА ИВД, НАБОР, ФЕРМЕНТНЫЙ СПЕКТРОФОТОМЕТРИЧЕСКИЙ АНАЛИЗ","ГЛЮКОЗА ИВД, НАБОР, ФЕРМЕНТНЫЙ СПЕКТРОФОТОМЕТРИЧЕСКИЙ АНАЛИЗ"
22943,01.02.10.43.302.04,"ГЛЮКОЗА ИВД, НАБОР, ЭЛЕКТРОМЕТРИЧЕСКИЙ АНАЛИЗ","ГЛЮКОЗА ИВД, НАБОР, ЭЛЕКТРОМЕТРИЧЕСКИЙ АНАЛИЗ"
22946,01.02.10.43.302.06,"ГЛЮКОЗА ИВД, РЕАГЕНТ (ОТКРЫТЫЕ СИСТЕМЫ)","ГЛЮКОЗА ИВД, РЕАГЕНТ (ОТКРЫТЫЕ СИСТЕМЫ)"
22957,01.02.10.43.302.01,"ГЛЮКОЗА ИВД, РЕАГЕНТ",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
22972,01.02.09.14.06,"ПРЕПАРАТЫ ДЛЯ ПИТАНИЯ,V06",ПОСТАВКА ЛЕКАРСТВЕННЫХ СРЕДСТВ
22979,01.02.10.43.302.08,"ГЛЮКОЗА МОЧИ ИВД, НАБОР, КОЛОРИМЕТРИЧЕСКАЯ ТЕСТ-ПОЛОСКА, ЭКСПРЕСС-АНАЛИЗ","ГЛЮКОЗА МОЧИ ИВД, НАБОР, КОЛОРИМЕТРИЧЕСКАЯ ТЕСТ-ПОЛОСКА, ЭКСПРЕСС-АНАЛИЗ"
22990,01.02.10.43.302.09,"ГЛЮКОЗА/ГЕМОГЛОБИН (HB) ИВД, КОНТРОЛЬНЫЙ МАТЕРИАЛ","ГЛЮКОЗА/ГЕМОГЛОБИН (HB) ИВД, КОНТРОЛЬНЫЙ МАТЕРИАЛ"
22996,01.02.10.43.302.05,"ГЛЮКОЗА/КЕТОНЫ/ЛИПИДНЫЙ ПРОФИЛЬ ИВД, РЕАГЕНТ","ГЛЮКОЗА/КЕТОНЫ/ЛИПИДНЫЙ ПРОФИЛЬ ИВД, РЕАГЕНТ"
23001,01.02.10.43.302.10,"ГЛЮКОЗА/КЕТОНЫ/ЛИПИДНЫЙ ПРОФИЛЬ, ИВД, НАБОР, ХРОМОГЕННЫЙ АНАЛИЗ, ЭКСПРЕСС-АНАЛИЗ","ГЛЮКОЗА/КЕТОНЫ/ЛИПИДНЫЙ ПРОФИЛЬ, ИВД, НАБОР, ХРОМОГЕННЫЙ АНАЛИЗ, ЭКСПРЕСС-АНАЛИЗ"
23017,01.02.10.43.303.01,"ГЛЮКОЗО-6-ФОСФАТДЕГИДРОГЕНАЗА ЭРИТРОЦИТОВ ИВД, КАЛИБРАТОР","ГЛЮКОЗО-6-ФОСФАТДЕГИДРОГЕНАЗА ЭРИТРОЦИТОВ ИВД, КАЛИБРАТОР"
23022,01.02.10.43.303.02,"ГЛЮКОЗО-6-ФОСФАТДЕГИДРОГЕНАЗА ЭРИТРОЦИТОВ ИВД, КОНТРОЛЬНЫЙ МАТЕРИАЛ","ГЛЮКОЗО-6-ФОСФАТДЕГИДРОГЕНАЗА ЭРИТРОЦИТОВ ИВД, КОНТРОЛЬНЫЙ МАТЕРИАЛ"
23024,01.02.10.43.303.03,"ГЛЮКОЗО-6-ФОСФАТДЕГИДРОГЕНАЗА ЭРИТРОЦИТОВ ИВД, РЕАГЕНТ","ГЛЮКОЗО-6-ФОСФАТДЕГИДРОГЕНАЗА ЭРИТРОЦИТОВ ИВД, РЕАГЕНТ"
23025,01.02.10.43.303.04,"ГЛЮКОЗО-6-ФОСФАТДЕГИДРОГЕНАЗА ЭРИТРОЦИТОВ ИВД, ФЕРМЕНТНЫЙ ФЛУОРЕСЦЕНТНЫЙ АНАЛИЗ","ГЛЮКОЗО-6-ФОСФАТДЕГИДРОГЕНАЗА ЭРИТРОЦИТОВ ИВД, ФЕРМЕНТНЫЙ ФЛУОРЕСЦЕНТНЫЙ АНАЛИЗ"
23026,01.02.11.01.12.02.05.05,ГЛЮКОМЕТРЫ ИВД,ГЛЮКОМЕТРЫ ИВД
23028,01.02.11.01.12.02.05.02,"ГЛЮКОМЕТР ДЛЯ ИНДИВИДУАЛЬНОГО ИСПОЛЬЗОВАНИЯ/ИСПОЛЬЗОВАНИЯ У ПОСТЕЛИ БОЛЬНОГО ИВД, ПИТАНИЕ ОТ БАТАРЕИ","ГЛЮКОМЕТР ДЛЯ ИНДИВИДУАЛЬНОГО ИСПОЛЬЗОВАНИЯ/ИСПОЛЬЗОВАНИЯ У ПОСТЕЛИ БОЛЬНОГО ИВД, ПИТАНИЕ ОТ БАТАРЕИ"
23031,01.02.10.43.304.01,"ГЛЮТАМАТДЕГИДРОГЕНАЗА ИВД, НАБОР, СПЕКТРОФОТОМЕТРИЧЕСКИЙ АНАЛИЗ","ГЛЮТАМАТДЕГИДРОГЕНАЗА ИВД, НАБОР, СПЕКТРОФОТОМЕТРИЧЕСКИЙ АНАЛИЗ"
23054,01.07.03.02.05.01,ГОБОИ,ПОСТАВКА МУЗЫКАЛЬНЫХ ИНСТРУМЕНТОВ
23058,01.01.08.01.02.01,ГОВЯДИНА ЗАМОРОЖЕННАЯ,ПОСТАВКА ПРОДУКТОВ ПИТАНИЯ
23064,01.01.08.01.02.02,ГОВЯДИНА ЗАМОРОЖЕННАЯ ДЛЯ ДЕТСКОГО ПИТАНИЯ,ПОСТАВКА ПРОДУКТОВ ПИТАНИЯ
23068,01.01.08.01.02.03,ГОВЯДИНА ОХЛАЖДЕННАЯ,ПОСТАВКА ПРОДУКТОВ ПИТАНИЯ
23074,01.01.08.01.02.04,ГОВЯДИНА ОХЛАЖДЕННАЯ ДЛЯ ДЕТСКОГО ПИТАНИЯ,ПОСТАВКА ПРОДУКТОВ ПИТАНИЯ
23078,03.07.02.08.02,ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ ЛИФТОВ,ОКАЗАНИЕ УСЛУГ ПО ТЕХНИЧЕСКОМУ ОБСЛУЖИВАНИЮ ПОДЪЕМНО-ТРАНСПОРТНОГО ОБОРУДОВАНИЯ
23079,03.07.99.03,ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И ТЕКУЩИЙ РЕМОНТ ОБОРУДОВАНИЯ ОБЕСПЕЧЕНИЯ ДОСТУПНОСТИ МАЛОМОБИЛЬНЫХ ГРУПП НАСЕЛЕНИЯ В ЖИЛЫХ ЗДАНИЯХ,ОКАЗАНИЕ УСЛУГ ПО ТЕХНИЧЕСКОМУ ОБСЛУЖИВАНИЮ СРЕДСТВ АДАПТАЦИИ ДЛЯ МАЛОМОБИЛЬНЫХ ГРУПП НАСЕЛЕНИЯ В ЖИЛЫХ ДОМАХ – ПЛАТФОРМ ПОДЪЕМНЫХ ДЛЯ ИНВАЛИДОВ И СИСТЕМЫ ВИЗУАЛЬНОГО КОНТРОЛЯ ЗА РАБОТОЙ ПЛАТФОРМ ПОДЪЕМНЫХ
23080,03.07.02.08.04,ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ ПОДЪЕМНЫХ ПЛАТФОРМ ДЛЯ МАЛОМОБИЛЬНЫХ ГРУПП НАСЕЛЕНИЯ,ОКАЗАНИЕ УСЛУГ ПО ТЕХНИЧЕСКОМУ ОБСЛУЖИВАНИЮ ПОДЪЕМНО-ТРАНСПОРТНОГО ОБОРУДОВАНИЯ
23082,03.07.02.08.03,"ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ ЭСКАЛАТОРОВ, ЗА ИСКЛЮЧЕНИЕМ ЭСКАЛАТОРОВ В МЕТРОПОЛИТЕНЕ",ОКАЗАНИЕ УСЛУГ ПО ТЕХНИЧЕСКОМУ ОБСЛУЖИВАНИЮ ПОДЪЕМНО-ТРАНСПОРТНОГО ОБОРУДОВАНИЯ
23103,01.13.14.12,ГОЛОВКИ ГРОМКОГОВОРИТЕЛЕЙ,ГОЛОВКИ ГРОМКОГОВОРИТЕЛЕЙ
23114,01.07.06.01.11,ПРИБОРЫ ДЛЯ НАСТРОЙКИ МУЗЫКАЛЬНЫХ ИНСТРУМЕНТОВ,ПРИБОРЫ ДЛЯ НАСТРОЙКИ МУЗЫКАЛЬНЫХ ИНСТРУМЕНТОВ
23119,01.02.10.48.19.21,"РАСХОДНЫЕ МАТЕРИАЛЫ И ПРИНАДЛЕЖНОСТИ ДЛЯ ОБОРУДОВАНИЯ ""МАТРИКС""","РАСХОДНЫЕ МАТЕРИАЛЫ И ПРИНАДЛЕЖНОСТИ ДЛЯ ОБОРУДОВАНИЯ ""МАТРИКС"""
23124,01.03.07.04,КОМПЛЕКТУЮЩИЕ (ЗАПАСНЫЕ ЧАСТИ) К СРЕДСТВАМ ОРГАНИЗАЦИИ ДОРОЖНОГО ДВИЖЕНИЯ,КОМПЛЕКТУЮЩИЕ (ЗАПАСНЫЕ ЧАСТИ) К СРЕДСТВАМ ОРГАНИЗАЦИИ ДОРОЖНОГО ДВИЖЕНИЯ
23127,01.02.10.48.19.10,"РАСХОДНЫЕ МАТЕРИАЛЫ К ОБОРУДОВАНИЮ ""ROTAFLOW""","РАСХОДНЫЕ МАТЕРИАЛЫ К ОБОРУДОВАНИЮ ""ROTAFLOW"""
23161,01.11.02.09.10,ГОЛОВКИ СМЕННЫЕ ТОРЦЕВЫЕ,ПОСТАВКА СТРОИТЕЛЬНЫХ ИНСТРУМЕНТОВ
23163,01.04.01.21,ГОЛОВКИ СОЕДИНИТЕЛЬНЫЕ ПОЖАРНЫЕ,ГОЛОВКИ СОЕДИНИТЕЛЬНЫЕ ПОЖАРНЫЕ
